SIDS,Budget_letter,Budget,Project,SDG,Funding,Year
Solomon Islands,949k,,SOI Transparency and Accountability for Solomon Islands,16,UN Agencies,2022
Solomon Islands,36k,,Inclusive Governance of Natural Resources-PBF 3,16,UN Agencies,2022
Solomon Islands,621k,,SOI: Advancing National Development Agenda and SDGs,16,UN Agencies,2022
Solomon Islands,70k,,SOI - Support to SICCM - SLB-CFUND-1904 (2019-2022),16,UN Agencies,2022
Solomon Islands,2M,,Strengthening the Electoral Cycle Project Phase 3,16,UN Agencies,2022
Solomon Islands,458k,,SOI_Bridging Traditional Governance and Youth,16,UN Agencies,2022
Suriname,44k,,Strengthening Ministry of Home Affairs,16,UN Agencies,2022
Suriname,35k,,Human Rights Institute,16,UN Agencies,2022
Timor-Leste,2M,,Support to Institutional Development,16,UN Agencies,2022
Timor-Leste,476,,Leveraging Electoral Assistance for Regionalized Nation,16,UN Agencies,2022
Timor-Leste,200k,,The Justice Sector Reform,16,UN Agencies,2022
Timor-Leste,6k,,Support to the Gov of Timor-Leste responding to COVID-19,16,UN Agencies,2022
Timor-Leste,2M,,Strength Integral Local Development,16,UN Agencies,2022
Timor-Leste,1M,,Spotlight Initiative in Timor-Leste – A Joint EU-UN Init,16,UN Agencies,2022
Timor-Leste,3M,,COVID-Resilient Elections in Timor Leste,16,UN Agencies,2022
Timor-Leste,466k,,Hamutuk ba Igualdade,16,UN Agencies,2022
Tonga,308k,,Tonga Early Recovery Support,16,UN Agencies,2022
Trinidad and Tobago,25k,,Engagement Facility Trinidad and Tobago,16,UN Agencies,2022
Trinidad and Tobago,142k,,PVE Youth Empower and Strength,16,UN Agencies,2022
Vanuatu,434,,81% LLIN coverage in Vanuatu,16,UN Agencies,2022
Vanuatu,1M,,Vanuatu Electoral Environment Project - Phase 2,16,UN Agencies,2022
Vanuatu,1M,,"A Malaria Free Vanuatu, contributing good health",16,UN Agencies,2022
Belize,232k,,Digital Transformation Program,17,UN Agencies,2022
Cabo Verde,478k,,STRENGTHENING GOVERNANCE IN CABO VERDE,17,UN Agencies,2022
Cabo Verde,321k,,Accelerator Lab - Cabo Verde,17,UN Agencies,2022
Cabo Verde,337k,,"Sustainable, Integrated and Inclusive Finance Framework",17,UN Agencies,2022
Cabo Verde,466k,,INTEGRATED SUSTAINABLE AND INCLUSIVE FINANCE PROJECT,17,UN Agencies,2022
Comoros,1k,,Projet appui à la planificat et la coordination,17,UN Agencies,2022
Comoros,774k,,Renforcement du cadre de financement des ODD,17,UN Agencies,2022
Cuba,343k,,PROCESO DE FORTALECIMIENTO DE CAPACIDADES DEL GOBIERNO DE ARTEMISA,17,UN Agencies,2022
Cuba,3M,,GESTION DEL CONOCIMIENTO Y FORTALECIMIENTO DE CAPACIDADES PARA LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO TERRITORIAL INTEGRAL,17,UN Agencies,2022
Cuba,9k,,INFORME NACIONAL DE DESARROLLO HUMANO EN CUBA,17,UN Agencies,2022
Cuba,1,,VENTANILLA ÚNICA DE INVERSIÓN EXTRANJERA EN CUBA,17,UN Agencies,2022
Cuba,100k,,RENOVANDO AL PNUD EN CUBA,17,UN Agencies,2022
Cuba,305k,,Integrated National Financing Framework for SDGs in Cuba,17,UN Agencies,2022
Cuba,240k,,SALTO DIGITAL,17,UN Agencies,2022
Cuba,10k,,VUINEX. FASE II,17,UN Agencies,2022
Dominican Republic,70k,,Implementando enfoques de Desarrollo Humano en políticas públicas de Republica Dominicana,17,UN Agencies,2022
Dominican Republic,368k,,Accelerator Lab - Dominican Republic,17,UN Agencies,2022
Dominican Republic,304k,,Plataforma Rescate Ozama,17,UN Agencies,2022
Fiji,666k,,Markets for Change,17,UN Agencies,2022
Fiji,560k,,COVID-19 Response support in the Pacific,17,UN Agencies,2022
Fiji,2M,,Building Black Blue. Leveraging COVID-19 recovery for su,17,UN Agencies,2022
Guinea-Bissau,2,,EU - Renforcement des Capacités en Politiques et Aide,17,UN Agencies,2022
Guinea-Bissau,79k,,SD-Natural resource valuation/GEF,17,UN Agencies,2022
Guyana,7M,,"ICT Access & E-Services for Hinterland, Poor and Remote",17,UN Agencies,2022
Guyana,321k,,Guyana Spotlight Initiative,17,UN Agencies,2022
Haiti,3M,,Appui Gouvernance Locale et Developpement Territorial,17,UN Agencies,2022
Haiti,404k,,Reponse a la Crise COVID19 en Haiti,17,UN Agencies,2022
Haiti,500k,,Cadre Intégré National pour le Finance du Dév en Haiti,17,UN Agencies,2022
Haiti,20M,,Vers lélimination du paludisme en Haïti,17,UN Agencies,2022
Jamaica,518k,,EnGender - Jamaica,17,UN Agencies,2022
Jamaica,349k,,Advancing Jamaica’s Digital Response to COVID-19,17,UN Agencies,2022
Jamaica,139k,,"Improving efficiency,effectiveness in Public Expenditure",17,UN Agencies,2022
Maldives,829k,,Integrated Governance Programme II,17,UN Agencies,2022
Maldives,1M,,Integrated Governance Programme III (IGP III),17,UN Agencies,2022
Mauritius,1M,,COVID 2.0 Strengthening Resilience - Digitalization,17,UN Agencies,2022
Papua New Guinea,450k,,Engagement Facility Project,17,UN Agencies,2022
Samoa,7k,,Knowledge Society Initiative,17,UN Agencies,2022
Sao Tome and Principe,258k,,PLANFICATION ET PROGRAMM-PAYS,17,UN Agencies,2022
Sao Tome and Principe,131k,,Young Social Entrepreneurship,17,UN Agencies,2022
Trinidad and Tobago,87k,,Low Emission Capacity Building Global Program Assessment,17,UN Agencies,2022
Tuvalu,872k,,Tuvalu-TIPS Project,17,UN Agencies,2022
Barbados,56k,,Universal adaptive social protection in the Eastern Cari,1,UN Pooled Funds,2022
Belize,79k,,Spotlight Initiative,1,UN Pooled Funds,2022
Cabo Verde,337k,,"Sustainable, Integrated and Inclusive Finance Framework",1,UN Pooled Funds,2022
Cuba,305k,,Integrated National Financing Framework for SDGs in Cuba,1,UN Pooled Funds,2022
Cuba,833k,,Respuesta inmediata Pinar del Rio (H.Ian),1,UN Pooled Funds,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,1,UN Pooled Funds,2022
Dominican Republic,175k,,Dialogo Binacional,1,UN Pooled Funds,2022
Fiji,666k,,Markets for Change,1,UN Pooled Funds,2022
Fiji,104k,,SDG Localization,1,UN Pooled Funds,2022
Fiji,14k,,Pacific Financial Inclusion Programme,1,UN Pooled Funds,2022
Fiji,560k,,COVID-19 Response support in the Pacific,1,UN Pooled Funds,2022
Fiji,515k,,Spotlight Initiative,1,UN Pooled Funds,2022
Fiji,1M,,Pacific Insurance and Climate Adaptation Programme,1,UN Pooled Funds,2022
Fiji,2M,,Pacific Digital Economy Programme,1,UN Pooled Funds,2022
Guinea-Bissau,214k,,HC - UNDP Guinea Bissau Early Response to COVID-19,1,UN Pooled Funds,2022
Maldives,182k,,Operationalizing Integrated National Financing Framework,1,UN Pooled Funds,2022
Maldives,205k,,Sustainable DRR/CCA and Mitigation in Maldives,1,UN Pooled Funds,2022
Samoa,46,,Samoa OneUnitedNation Youth Employment Programme(1UNYEP,1,UN Pooled Funds,2022
Samoa,707k,,Samoa Social Protection,1,UN Pooled Funds,2022
Samoa,559k,,SDG FINANCING - COMPONENT 1,1,UN Pooled Funds,2022
Sao Tome and Principe,131k,,Young Social Entrepreneurship,1,UN Pooled Funds,2022
Sao Tome and Principe,750k,,Export Value Chain,1,UN Pooled Funds,2022
Solomon Islands,621k,,SOI: Advancing National Development Agenda and SDGs,1,UN Pooled Funds,2022
Suriname,75k,,"Inclusion, Building Resilience and Improving Livelihoods",1,UN Pooled Funds,2022
Timor-Leste,341k,,Integrated National Financing Framework (INFF) and Finan,1,UN Pooled Funds,2022
Trinidad and Tobago,28k,,Multi-Dimensional Poverty in Trinidad & Tobago,1,UN Pooled Funds,2022
Cuba,305k,,Integrated National Financing Framework for SDGs in Cuba,3,UN Pooled Funds,2022
Fiji,2M,,Climate Security in the Pacific,3,UN Pooled Funds,2022
Sao Tome and Principe,59k,,Health Information System and youth entrepreneurship,3,UN Pooled Funds,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,4,UN Pooled Funds,2022
Belize,79k,,Spotlight Initiative,5,UN Pooled Funds,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,5,UN Pooled Funds,2022
Fiji,515k,,Spotlight Initiative,5,UN Pooled Funds,2022
Grenada,180k,,Grenada Spotlight Initiative,5,UN Pooled Funds,2022
Guinea-Bissau,214k,,HC - UNDP Guinea Bissau Early Response to COVID-19,5,UN Pooled Funds,2022
Guinea-Bissau,537k,,GC - Creating Safe & Empowering Public Spaces with Women,5,UN Pooled Funds,2022
Haiti,11k,,Promotion de la cohésion sociale à Jérémie,5,UN Pooled Funds,2022
Haiti,28M,,Appui au Processus Électoral en Haïti (PAPEH),5,UN Pooled Funds,2022
Haiti,515k,,Réduction de la violence communautaire à Martissant et L,5,UN Pooled Funds,2022
Haiti,700k,,Renforcement Dialogue Haiti et la Republique Dominicaine,5,UN Pooled Funds,2022
Jamaica,581k,,Spotlight Initiative- Jamaica,5,UN Pooled Funds,2022
Maldives,829k,,Integrated Governance Programme II,5,UN Pooled Funds,2022
Papua New Guinea,159k,,Spotlight-RCO,5,UN Pooled Funds,2022
Timor-Leste,1M,,Spotlight Initiative in Timor-Leste – A Joint EU-UN Init,5,UN Pooled Funds,2022
Trinidad and Tobago,570k,,Trinidad & Tobago Spotlight Initiative,5,UN Pooled Funds,2022
Maldives,829k,,Integrated Governance Programme II,6,UN Pooled Funds,2022
Barbados,21k,,Blue Economy Finance for SIDS - SDG Fund Component 2,7,UN Pooled Funds,2022
Cuba,781k,,FRELOCAL - FUENTES RENOVABLES DE ENERGIA - DES LOCAL,7,UN Pooled Funds,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,8,UN Pooled Funds,2022
Papua New Guinea,1M,,Investing in Coral Reefs & the Blue Economy: BE-EIF,8,UN Pooled Funds,2022
Samoa,46,,Samoa OneUnitedNation Youth Employment Programme(1UNYEP,8,UN Pooled Funds,2022
Timor-Leste,341k,,Integrated National Financing Framework (INFF) and Finan,8,UN Pooled Funds,2022
Trinidad and Tobago,142k,,PVE Youth Empower and Strength,8,UN Pooled Funds,2022
Maldives,70k,,Enhancing UNDP Engagement,9,UN Pooled Funds,2022
Papua New Guinea,1M,,Investing in Coral Reefs & the Blue Economy: BE-EIF,9,UN Pooled Funds,2022
Samoa,65k,,Digital Transformation (SDTP),9,UN Pooled Funds,2022
Sao Tome and Principe,131k,,Young Social Entrepreneurship,9,UN Pooled Funds,2022
Cook Islands,159k,,UNPRPD Cook Islands,10,UN Pooled Funds,2022
Dominican Republic,58k,,Inclusión social de las personas con discapacidad,10,UN Pooled Funds,2022
Dominican Republic,175k,,Dialogo Binacional,10,UN Pooled Funds,2022
Sao Tome and Principe,131k,,Young Social Entrepreneurship,10,UN Pooled Funds,2022
Sao Tome and Principe,750k,,Export Value Chain,10,UN Pooled Funds,2022
Suriname,75k,,"Inclusion, Building Resilience and Improving Livelihoods",10,UN Pooled Funds,2022
Cuba,833k,,Respuesta inmediata Pinar del Rio (H.Ian),11,UN Pooled Funds,2022
Guinea-Bissau,214k,,HC - UNDP Guinea Bissau Early Response to COVID-19,11,UN Pooled Funds,2022
Haiti,11k,,Promotion de la cohésion sociale à Jérémie,11,UN Pooled Funds,2022
Haiti,500k,,Cadre Intégré National pour le Finance du Dév en Haiti,11,UN Pooled Funds,2022
Maldives,70k,,Enhancing UNDP Engagement,12,UN Pooled Funds,2022
Suriname,59k,,Roadmap for Sustainable Financing,12,UN Pooled Funds,2022
Barbados,21k,,Blue Economy Finance for SIDS - SDG Fund Component 2,13,UN Pooled Funds,2022
Cuba,781k,,FRELOCAL - FUENTES RENOVABLES DE ENERGIA - DES LOCAL,13,UN Pooled Funds,2022
Cuba,833k,,Respuesta inmediata Pinar del Rio (H.Ian),13,UN Pooled Funds,2022
Fiji,560k,,COVID-19 Response support in the Pacific,13,UN Pooled Funds,2022
Fiji,2M,,Climate Security in the Pacific,13,UN Pooled Funds,2022
Guinea-Bissau,214k,,HC - UNDP Guinea Bissau Early Response to COVID-19,13,UN Pooled Funds,2022
Haiti,149,,Increasing Human Security to DRR,13,UN Pooled Funds,2022
Haiti,59k,,Appui à la Préparation et à la Gestion des Désastres (Ha,13,UN Pooled Funds,2022
Maldives,205k,,Sustainable DRR/CCA and Mitigation in Maldives,13,UN Pooled Funds,2022
Papua New Guinea,700k,,Preventing Climate-Induced Conflicts,13,UN Pooled Funds,2022
Solomon Islands,621k,,SOI: Advancing National Development Agenda and SDGs,13,UN Pooled Funds,2022
Barbados,445k,,Blue Economy Finance for SIDS - SDG FUND,14,UN Pooled Funds,2022
Papua New Guinea,1M,,Investing in Coral Reefs & the Blue Economy: BE-EIF,14,UN Pooled Funds,2022
Cuba,17k,,Environmental Finance in Cuba,15,UN Pooled Funds,2022
Suriname,59k,,Roadmap for Sustainable Financing,15,UN Pooled Funds,2022
Belize,79k,,Spotlight Initiative,16,UN Pooled Funds,2022
Comoros,1k,,Projet appui à la planificat et la coordination,16,UN Pooled Funds,2022
Comoros,774k,,Renforcement du cadre de financement des ODD,16,UN Pooled Funds,2022
Cook Islands,159k,,UNPRPD Cook Islands,16,UN Pooled Funds,2022
Fiji,560k,,COVID-19 Response support in the Pacific,16,UN Pooled Funds,2022
Fiji,515k,,Spotlight Initiative,16,UN Pooled Funds,2022
Fiji,766k,,UNPRAC Phase III,16,UN Pooled Funds,2022
Fiji,2M,,Climate Security in the Pacific,16,UN Pooled Funds,2022
Guinea-Bissau,382k,,GC - Rule of Law and Justice,16,UN Pooled Funds,2022
Guinea-Bissau,284k,,GC - Drug Trafficking & Transnational Crime,16,UN Pooled Funds,2022
Guinea-Bissau,790k,,GC - Political Stabilization & Reform,16,UN Pooled Funds,2022
Guinea-Bissau,562k,,GC - Enhancing Protection System of Human-Rights in GB,16,UN Pooled Funds,2022
Guyana,321k,,Guyana Spotlight Initiative,16,UN Pooled Funds,2022
Haiti,149,,Increasing Human Security to DRR,16,UN Pooled Funds,2022
Haiti,806k,,Community assistance,16,UN Pooled Funds,2022
Haiti,11k,,Promotion de la cohésion sociale à Jérémie,16,UN Pooled Funds,2022
Haiti,2M,,Renforcer laccès à la justice,16,UN Pooled Funds,2022
Haiti,28M,,Appui au Processus Électoral en Haïti (PAPEH),16,UN Pooled Funds,2022
Haiti,232k,,Contrôle des armes & des munitions,16,UN Pooled Funds,2022
Haiti,515k,,Réduction de la violence communautaire à Martissant et L,16,UN Pooled Funds,2022
Haiti,700k,,Renforcement Dialogue Haiti et la Republique Dominicaine,16,UN Pooled Funds,2022
Maldives,829k,,Integrated Governance Programme II,16,UN Pooled Funds,2022
Papua New Guinea,37k,,Sustaining Peace in Bougainville,16,UN Pooled Funds,2022
Papua New Guinea,1M,,The Spotlight Initiative in Papua New Guinea,16,UN Pooled Funds,2022
Papua New Guinea,3M,,Highlands Creating Cond for Peace in PNG,16,UN Pooled Funds,2022
Papua New Guinea,700k,,Preventing Climate-Induced Conflicts,16,UN Pooled Funds,2022
Samoa,46,,Samoa OneUnitedNation Youth Employment Programme(1UNYEP,16,UN Pooled Funds,2022
Samoa,87k,,Women in Leadership in Samoa (WILS),16,UN Pooled Funds,2022
Samoa,211k,,Spotlight Initiative,16,UN Pooled Funds,2022
Samoa,65k,,Digital Transformation (SDTP),16,UN Pooled Funds,2022
Solomon Islands,36k,,Inclusive Governance of Natural Resources-PBF 3,16,UN Pooled Funds,2022
Solomon Islands,621k,,SOI: Advancing National Development Agenda and SDGs,16,UN Pooled Funds,2022
Solomon Islands,458k,,SOI_Bridging Traditional Governance and Youth,16,UN Pooled Funds,2022
Timor-Leste,1M,,Spotlight Initiative in Timor-Leste – A Joint EU-UN Init,16,UN Pooled Funds,2022
Trinidad and Tobago,142k,,PVE Youth Empower and Strength,16,UN Pooled Funds,2022
Barbados,56k,,Universal adaptive social protection in the Eastern Cari,17,UN Pooled Funds,2022
Cabo Verde,337k,,"Sustainable, Integrated and Inclusive Finance Framework",17,UN Pooled Funds,2022
Comoros,1k,,Projet appui à la planificat et la coordination,17,UN Pooled Funds,2022
Comoros,774k,,Renforcement du cadre de financement des ODD,17,UN Pooled Funds,2022
Cuba,305k,,Integrated National Financing Framework for SDGs in Cuba,17,UN Pooled Funds,2022
Cuba,17k,,Environmental Finance in Cuba,17,UN Pooled Funds,2022
Fiji,666k,,Markets for Change,17,UN Pooled Funds,2022
Fiji,560k,,COVID-19 Response support in the Pacific,17,UN Pooled Funds,2022
Fiji,295k,,SDG Financing in the Pacific,17,UN Pooled Funds,2022
Fiji,404k,,Coral Reef,17,UN Pooled Funds,2022
Guyana,321k,,Guyana Spotlight Initiative,17,UN Pooled Funds,2022
Haiti,500k,,Cadre Intégré National pour le Finance du Dév en Haiti,17,UN Pooled Funds,2022
Jamaica,139k,,"Improving efficiency,effectiveness in Public Expenditure",17,UN Pooled Funds,2022
Jamaica,118k,,Building Back Equal Joint Programme,17,UN Pooled Funds,2022
Maldives,829k,,Integrated Governance Programme II,17,UN Pooled Funds,2022
Sao Tome and Principe,131k,,Young Social Entrepreneurship,17,UN Pooled Funds,2022
Comoros,200k,,Développement d’un réseau national d’aires protégées ter,1,Vertical Funds,2022
Comoros,60k,,Renf. des capacités du Programme de Microfinancement FEM,1,Vertical Funds,2022
Guinea-Bissau,1,,Climate Change Adaptation,1,Vertical Funds,2022
Guinea-Bissau,90k,,SD-Strengthening National PA in Guinea-Bissau/GEF,1,Vertical Funds,2022
Haiti,42k,,PPG Biodiversite GEF7,1,Vertical Funds,2022
Sao Tome and Principe,234k,,PIMS4602 - RENEWABLE ENERGY,1,Vertical Funds,2022
Seychelles,220k,,Ecosystem Based Adaptation to Climate Change in Seychell,1,Vertical Funds,2022
Seychelles,1M,,Seychelles Ridge to Reef Project,1,Vertical Funds,2022
Solomon Islands,872,,PPG _SOI_Biodiversity and Land Degradation,1,Vertical Funds,2022
Timor-Leste,622k,,Implementation of the Arafura and timor Seas Regional an,1,Vertical Funds,2022
Comoros,180k,,PIMS 4926 Enhancing adaptive capacity for increased reli,2,Vertical Funds,2022
Comoros,10M,,Ensuring climate resilient water Comoros -PIMS-5740-GCF,6,Vertical Funds,2022
Maldives,72k,,Implementing Sustainable Low & non-Chemical Development,6,Vertical Funds,2022
Comoros,515k,,PIMS 5484 : Sustainable development of Comoros Islands,7,Vertical Funds,2022
Cuba,472k,,BIOENERGIA - CLEAN ENERGY TECHNOLOGIES FOR THE RURAL AREAS IN CUBA,7,Vertical Funds,2022
Cuba,1M,,Low-carbon transport systems in Havana (Medium size),7,Vertical Funds,2022
Guinea-Bissau,1,,Climate Change Adaptation,7,Vertical Funds,2022
Guyana,58k,,Mainstreaming Low-emission Energy Technologies to build,7,Vertical Funds,2022
Mauritius,3M,,GCF - Accelerating Low Carbon,7,Vertical Funds,2022
Niue,985k,,Accelerating RE & EE in Niue (AREAN),7,Vertical Funds,2022
Papua New Guinea,2,,WB FCPF REDD+ Readiness II,7,Vertical Funds,2022
Papua New Guinea,574k,,PIMS5569 Renewable Energy & Energy Efficiency,7,Vertical Funds,2022
Papua New Guinea,1,,PIMS6394 PPG Integrated Landuse Planning in New Britain,7,Vertical Funds,2022
Samoa,1M,,IMPRESS_Renewable Energy (Full Size),7,Vertical Funds,2022
Sao Tome and Principe,234k,,PIMS4602 - RENEWABLE ENERGY,7,Vertical Funds,2022
Sao Tome and Principe,50k,,PPG African Minigrids Program STP,7,Vertical Funds,2022
Solomon Islands,911k,,SOI: Rural Electrification (SPIRES),7,Vertical Funds,2022
Trinidad and Tobago,1M,,GEF6- Energy Efficiency in RAC,7,Vertical Funds,2022
Cuba,472k,,BIOENERGIA - CLEAN ENERGY TECHNOLOGIES FOR THE RURAL AREAS IN CUBA,9,Vertical Funds,2022
Cuba,311k,,FINANCING MECHANISMS IN SUSTAINABLE LAND MANAGEMENT,9,Vertical Funds,2022
Jamaica,29k,,Supporting Sustainable Transportation through E-Mobility,9,Vertical Funds,2022
Maldives,606k,,Eliminating POPs through sound management of chemicals,9,Vertical Funds,2022
Mauritius,3M,,GCF - Accelerating Low Carbon,9,Vertical Funds,2022
Mauritius,402k,,Mainstreaming SLM and Biodiversity Conversation in Mtius,9,Vertical Funds,2022
Timor-Leste,700k,,Strengthening targeted national capacities to improve,9,Vertical Funds,2022
Sao Tome and Principe,234k,,PIMS4602 - RENEWABLE ENERGY,10,Vertical Funds,2022
Haiti,632k,,National Adaptation Plan,11,Vertical Funds,2022
Maldives,3M,,GCF-Managing climate change induced water shortages,11,Vertical Funds,2022
Timor-Leste,4M,,Safeguarding rural communities and their physical assets,11,Vertical Funds,2022
Belize,479k,,Enhancing jaguar corridors and strongholds,12,Vertical Funds,2022
Haiti,231k,,Paysages productifs,12,Vertical Funds,2022
Maldives,606k,,Eliminating POPs through sound management of chemicals,12,Vertical Funds,2022
Suriname,144k,,"Strengthening capacities for REDD+ (Countries’ efforts to Reduce Emissions from Deforestation and Forest degradation, and foster conservation, sustainable management of forests, and enhancement of forest carbon stocks)",12,Vertical Funds,2022
Suriname,930k,,Environmental Management Mining,12,Vertical Funds,2022
Suriname,21k,,PPG GEF GOLD + in Suriname,12,Vertical Funds,2022
Cabo Verde,944k,,Mainstreaming biodiversity conservation into the tourism,13,Vertical Funds,2022
Cabo Verde,255k,,4 National Communication and BUR under the UNFCCC,13,Vertical Funds,2022
Comoros,180k,,PIMS 4926 Enhancing adaptive capacity for increased reli,13,Vertical Funds,2022
Comoros,60k,,Renf. des capacités du Programme de Microfinancement FEM,13,Vertical Funds,2022
Comoros,1M,,Renforcement de la résilience des Comores aux risques,13,Vertical Funds,2022
Comoros,10M,,Ensuring climate resilient water Comoros -PIMS-5740-GCF,13,Vertical Funds,2022
Cuba,874k,,LANDSCAPE APPROACH MOUNTAIN ECOSYSTEMS,13,Vertical Funds,2022
Cuba,472k,,BIOENERGIA - CLEAN ENERGY TECHNOLOGIES FOR THE RURAL AREAS IN CUBA,13,Vertical Funds,2022
Cuba,504k,,INFOGEO - SISTEMA INFORMACION AMBIENTAL (MEDIUM SIZE),13,Vertical Funds,2022
Cuba,311k,,FINANCING MECHANISMS IN SUSTAINABLE LAND MANAGEMENT,13,Vertical Funds,2022
Cuba,1M,,Low-carbon transport systems in Havana (Medium size),13,Vertical Funds,2022
Cuba,3k,,TURISMO SOSTENIBLE PREPARATORIA,13,Vertical Funds,2022
Cuba,95k,,NAP Havana Coastal Zone,13,Vertical Funds,2022
Cuba,2M,,Mi Costa -Coastal Resilience by Ecosystem Based Adaption,13,Vertical Funds,2022
Grenada,2M,,Climate Resilient Agriculture for Integrated Landscape,13,Vertical Funds,2022
Guinea-Bissau,1,,Climate Change Adaptation,13,Vertical Funds,2022
Guinea-Bissau,6M,,SD-Coastal area resilience to climate/GEF,13,Vertical Funds,2022
Guinea-Bissau,53k,,SP-Establishing a NAP Process in Guinea Bissau / GCF,13,Vertical Funds,2022
Guyana,37k,,Mainstream and Monitor Rio Convention implementation,13,Vertical Funds,2022
Haiti,5k,,Adaptation basée sur les écosystèmes,13,Vertical Funds,2022
Haiti,632k,,National Adaptation Plan,13,Vertical Funds,2022
Haiti,42k,,PPG Biodiversite GEF7,13,Vertical Funds,2022
Haiti,300k,,Capacity Building Initiative for Transparency (CBIT),13,Vertical Funds,2022
Haiti,231k,,Paysages productifs,13,Vertical Funds,2022
Jamaica,22k,,Fourth National Communication & Biennial Update Report,13,Vertical Funds,2022
Kiribati,1M,,Enhancing national food security,13,Vertical Funds,2022
Kiribati,823k,,KIR LDCF WoI,13,Vertical Funds,2022
Maldives,3M,,GCF-Managing climate change induced water shortages,13,Vertical Funds,2022
Marshall Islands,271k,,RMI 3rd NC and 1st BUR,13,Vertical Funds,2022
Mauritius,3M,,GCF - Accelerating Low Carbon,13,Vertical Funds,2022
Mauritius,2M,,Restoring Marine Ecosystem by Rehabilitating Coral Reefs,13,Vertical Funds,2022
Mauritius,402k,,Mainstreaming SLM and Biodiversity Conversation in Mtius,13,Vertical Funds,2022
Mauritius,339k,,CBIT - Greenhouse Gas Inventory,13,Vertical Funds,2022
"Micronesia, Federated States of",254k,,Third National Communication (TNC) and First Biennial Update Report (FBUR),13,Vertical Funds,2022
"Micronesia, Federated States of",1M,,Micronesia Public Sector Buildings Energy Efficiency,13,Vertical Funds,2022
Nauru,1M,,Nauru SMARTEN FSP,13,Vertical Funds,2022
Niue,435k,,Niue Ridge to Reef,13,Vertical Funds,2022
Niue,985k,,Accelerating RE & EE in Niue (AREAN),13,Vertical Funds,2022
Papua New Guinea,2,,WB FCPF REDD+ Readiness II,13,Vertical Funds,2022
Papua New Guinea,574k,,PIMS5569 Renewable Energy & Energy Efficiency,13,Vertical Funds,2022
Papua New Guinea,1,,PIMS6394 PPG Integrated Landuse Planning in New Britain,13,Vertical Funds,2022
Papua New Guinea,494k,,PIMS 6119 Advancing PNG NAP,13,Vertical Funds,2022
Papua New Guinea,554k,,Sustainable Integrated Land Use [GEF],13,Vertical Funds,2022
Samoa,2M,,Economy-wide integration of CC Adaptation (FSP),13,Vertical Funds,2022
Samoa,6M,,Green Climate Fund Vaisigano River Catchment,13,Vertical Funds,2022
Samoa,1M,,IMPRESS_Renewable Energy (Full Size),13,Vertical Funds,2022
Samoa,623k,,Third National Communication and Biennial Update Report,13,Vertical Funds,2022
Sao Tome and Principe,50k,,PPG African Minigrids Program STP,13,Vertical Funds,2022
Seychelles,220k,,Ecosystem Based Adaptation to Climate Change in Seychell,13,Vertical Funds,2022
Solomon Islands,911k,,SOI: Rural Electrification (SPIRES),13,Vertical Funds,2022
Solomon Islands,872,,PPG _SOI_Biodiversity and Land Degradation,13,Vertical Funds,2022
Suriname,144k,,"Strengthening capacities for REDD+ (Countries’ efforts to Reduce Emissions from Deforestation and Forest degradation, and foster conservation, sustainable management of forests, and enhancement of forest carbon stocks)",13,Vertical Funds,2022
Timor-Leste,622k,,Implementation of the Arafura and timor Seas Regional an,13,Vertical Funds,2022
Timor-Leste,4M,,Safeguarding rural communities and their physical assets,13,Vertical Funds,2022
Tonga,75k,,Tonga FNC,13,Vertical Funds,2022
Tuvalu,15M,,TV Coastal Adaptation,13,Vertical Funds,2022
Tuvalu,1M,,Tuvalu Sustainable National Energy Targets Project,13,Vertical Funds,2022
Vanuatu,1M,,VU Energy Roadmap (BRANTV),13,Vertical Funds,2022
Vanuatu,26k,,Vanuatu VCAP2 Project Preparation Grant,13,Vertical Funds,2022
Vanuatu,209k,,VCAP Phase 2,13,Vertical Funds,2022
Belize,479k,,Enhancing jaguar corridors and strongholds,14,Vertical Funds,2022
Cabo Verde,944k,,Mainstreaming biodiversity conservation into the tourism,14,Vertical Funds,2022
Comoros,200k,,Développement d’un réseau national d’aires protégées ter,14,Vertical Funds,2022
Cook Islands,688,,Ridge to Reef Approach in Cook Islands_Full Size,14,Vertical Funds,2022
Cook Islands,139k,,GEF 7 Cook Islands PPG,14,Vertical Funds,2022
Cuba,874k,,LANDSCAPE APPROACH MOUNTAIN ECOSYSTEMS,14,Vertical Funds,2022
Cuba,504k,,INFOGEO - SISTEMA INFORMACION AMBIENTAL (MEDIUM SIZE),14,Vertical Funds,2022
Cuba,2M,,"Incorporating multiple environmental considerations and their economic implications into the management of landscapes, forests and production sectors in Cuba",14,Vertical Funds,2022
Cuba,6k,,Third National Communication and First Biennial Update Report to the UNFCCC,14,Vertical Funds,2022
Cuba,3k,,TURISMO SOSTENIBLE PREPARATORIA,14,Vertical Funds,2022
Cuba,95k,,NAP Havana Coastal Zone,14,Vertical Funds,2022
Cuba,2M,,Mi Costa -Coastal Resilience by Ecosystem Based Adaption,14,Vertical Funds,2022
